"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
500	50	0.7	0.1	0.31	"0.89 ( 0 )"	"11.14 ( 0.74 )"	"0.02 ( 0.02 )"	16.12	0.56	0.89	11.14	0.02	"elnet"
1000	50	0.7	0.05	0.37	"0.89 ( 0 )"	"9.65 ( 0.77 )"	"0 ( 0 )"	14.65	0.49	0.89	9.65	0	"elnet"
50	100	0.7	2	0.08	"0.71 ( 0.01 )"	"17.76 ( 1.65 )"	"2.81 ( 0.14 )"	19.95	0.74	0.71	17.76	2.81	"elnet"
100	100	0.7	1	0.13	"0.79 ( 0.01 )"	"16.43 ( 1.31 )"	"1.79 ( 0.13 )"	19.64	0.68	0.79	16.43	1.79	"elnet"
500	100	0.7	0.2	0.25	"0.89 ( 0 )"	"16.01 ( 0.82 )"	"0.03 ( 0.03 )"	20.98	0.67	0.89	16.01	0.03	"elnet"
1000	100	0.7	0.1	0.33	"0.89 ( 0 )"	"12.77 ( 0.94 )"	"0 ( 0 )"	17.77	0.58	0.89	12.77	0	"elnet"
50	500	0.7	10	0.03	"0.67 ( 0.01 )"	"43.83 ( 5.17 )"	"3.75 ( 0.12 )"	45.08	0.9	0.67	43.83	3.75	"elnet"
100	500	0.7	5	0.1	"0.74 ( 0.01 )"	"19.1 ( 1.88 )"	"3.08 ( 0.1 )"	21.02	0.73	0.74	19.1	3.08	"elnet"
500	500	0.7	1	0.15	"0.87 ( 0 )"	"31.23 ( 1.88 )"	"0.17 ( 0.04 )"	36.06	0.78	0.87	31.23	0.17	"elnet"
1000	500	0.7	0.5	0.22	"0.89 ( 0 )"	"22.46 ( 1.45 )"	"0 ( 0 )"	27.46	0.71	0.89	22.46	0	"elnet"
50	1000	0.7	20	0.02	"0.64 ( 0.01 )"	"47.17 ( 5.85 )"	"4.12 ( 0.09 )"	48.05	0.92	0.64	47.17	4.12	"elnet"
100	1000	0.7	10	0.08	"0.75 ( 0.01 )"	"20.86 ( 2.56 )"	"3.59 ( 0.09 )"	22.27	0.77	0.75	20.86	3.59	"elnet"
500	1000	0.7	2	0.13	"0.87 ( 0 )"	"36.32 ( 2.18 )"	"0.23 ( 0.05 )"	41.09	0.81	0.87	36.32	0.23	"elnet"
1000	1000	0.7	1	0.16	"0.89 ( 0 )"	"32.22 ( 2.11 )"	"0.01 ( 0.01 )"	37.21	0.8	0.89	32.22	0.01	"elnet"
50	50	0.9	1	0.09	"0.71 ( 0.01 )"	"14.15 ( 1 )"	"2.3 ( 0.14 )"	16.85	0.68	0.71	14.15	2.3	"elnet"
100	50	0.9	0.5	0.15	"0.77 ( 0.01 )"	"11.74 ( 0.88 )"	"1.74 ( 0.13 )"	15	0.64	0.77	11.74	1.74	"elnet"
500	50	0.9	0.1	0.27	"0.83 ( 0 )"	"12.28 ( 0.9 )"	"0.18 ( 0.06 )"	17.1	0.57	0.83	12.28	0.18	"elnet"
1000	50	0.9	0.05	0.39	"0.84 ( 0 )"	"9.58 ( 0.68 )"	"0.01 ( 0.01 )"	14.57	0.51	0.84	9.58	0.01	"elnet"
50	100	0.9	2	0.08	"0.7 ( 0.01 )"	"15.1 ( 1.65 )"	"3.16 ( 0.13 )"	16.94	0.7	0.7	15.1	3.16	"elnet"
100	100	0.9	1	0.15	"0.75 ( 0.01 )"	"14.19 ( 1.38 )"	"2.23 ( 0.13 )"	16.96	0.64	0.75	14.19	2.23	"elnet"
500	100	0.9	0.2	0.25	"0.83 ( 0 )"	"16.33 ( 1.01 )"	"0.2 ( 0.06 )"	21.13	0.67	0.83	16.33	0.2	"elnet"
1000	100	0.9	0.1	0.32	"0.84 ( 0 )"	"13.82 ( 1.17 )"	"0.03 ( 0.02 )"	18.79	0.6	0.84	13.82	0.03	"elnet"
50	500	0.9	10	0.05	"0.66 ( 0.02 )"	"28.64 ( 3.14 )"	"4.13 ( 0.07 )"	29.51	0.88	0.66	28.64	4.13	"elnet"
100	500	0.9	5	0.07	"0.7 ( 0.01 )"	"25.71 ( 4.03 )"	"3.42 ( 0.1 )"	27.29	0.78	0.7	25.71	3.42	"elnet"
500	500	0.9	1	0.14	"0.81 ( 0 )"	"25.68 ( 1.61 )"	"1.07 ( 0.11 )"	29.61	0.76	0.81	25.68	1.07	"elnet"
1000	500	0.9	0.5	0.21	"0.83 ( 0 )"	"23.49 ( 1.26 )"	"0.15 ( 0.05 )"	28.34	0.75	0.83	23.49	0.15	"elnet"
50	1000	0.9	20	0.02	"0.65 ( 0.01 )"	"49.08 ( 6.86 )"	"4.29 ( 0.09 )"	49.79	0.93	0.65	49.08	4.29	"elnet"
100	1000	0.9	10	0.05	"0.66 ( 0.01 )"	"32.99 ( 5.22 )"	"3.81 ( 0.09 )"	34.18	0.8	0.66	32.99	3.81	"elnet"
500	1000	0.9	2	0.11	"0.8 ( 0 )"	"30.91 ( 2.22 )"	"1.52 ( 0.12 )"	34.39	0.78	0.8	30.91	1.52	"elnet"
1000	1000	0.9	1	0.14	"0.83 ( 0 )"	"35.66 ( 1.98 )"	"0.23 ( 0.06 )"	40.43	0.82	0.83	35.66	0.23	"elnet"
50	50	0.1	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.1	0.5	0.1	"1 ( 0 )"	"2.05 ( 0.14 )"	"4.71 ( 0.08 )"	3.31	0.56	1	2.05	4.71	"rf"
