""	"prob_compLasso"	"prob_lasso"	"prob_elnet"	"prob_rf"
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfuromonadales.f__Geobacteraceae.g__Geobacter.s__.1"	0	0	0.05	0.11
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__DA101.s__.4"	0	0	0.06	0.05
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Pelosinus.s__"	0	0.02	0.14	0.03
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Telmatospirillum.s__siberiense"	0	0	0.09	0.02
"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Dyadobacter.s__"	0	0	0.04	0.03
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.11"	0	0	0.06	0.06
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__.1"	0	0.01	0.06	0.02
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__DA101.s__.5"	0	0.02	0.11	0.02
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Rhodoplanes.s__.17"	0.12	0.32	0.53	0.04
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Geodermatophilaceae.g__Geodermatophilus.s__"	0.02	0.01	0.15	0.03
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__DA101.s__.6"	0	0.01	0.08	0.14
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bradyrhizobiaceae.g__Bradyrhizobium.s__.1"	0	0.03	0.19	0.07
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Bdellovibrionales.f__Bdellovibrionaceae.g__Bdellovibrio.s__.3"	0	0	0.04	0.04
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Asticcacaulis.s__biprosthecium"	0	0.02	0.1	0.04
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Rhodocyclaceae.g__Thauera.s__"	0	0	0	0.04
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Cupriavidus.s__"	0	0.01	0.05	0.06
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Koribacteraceae.g__Candidatus.Koribacter.s__.5"	0.03	0.04	0.09	0.17
"k__Bacteria.p__Bacteroidetes.c__.Saprospirae..o__.Saprospirales..f__Chitinophagaceae.g__Flavihumibacter.s__"	0	0	0.02	0.04
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Microbispora.s__rosea"	0	0	0.06	0.07
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardioidaceae.g__Aeromicrobium.s__.1"	0	0	0.05	0.06
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Coxiellaceae.g__Aquicella.s__.1"	0	0	0.05	0.02
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__DA101.s__.7"	0	0	0.09	0.03
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Koribacteraceae.g__Candidatus.Koribacter.s__.6"	0	0	0.11	0.08
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__DA101.s__.8"	0	0	0.04	0.03
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__muralis.1"	0	0	0.07	0.05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.g__Paenibacillus.s__lautus"	0	0	0.21	0.04
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.12"	0	0	0.03	0.12
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Luteolibacter.s__"	0	0	0.11	0.01
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__Methylobacterium.s__"	0	0	0.04	0.02
"k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Mucilaginibacter.s__kameinonensis"	0	0	0.2	0.04
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.13"	0	0	0.11	0.02
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Pedomicrobium.s__.2"	0	0	0.09	0.01
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.14"	0	0	0.02	0.06
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptosporangiaceae.g__Streptosporangium.s__pseudovulgare"	0	0	0.21	0.02
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micromonosporaceae.g__Catellatospora.s__.1"	0	0	0.06	0.06
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Lautropia.s__"	0	0	0.08	0.05
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Janthinobacterium.s__.1"	0	0	0	0.06
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Aggregatibacter.s__"	0	0	0.09	0.03
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Telmatospirillum.s__"	0	0	0.05	0.09
"k__Bacteria.p__Nitrospirae.c__Nitrospira.o__Nitrospirales.f__Nitrospiraceae.g__Nitrospira.s__.1"	0	0	0.08	0.05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Rhodoplanes.s__.18"	0	0	0	0.04
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Koribacteraceae.g__Candidatus.Koribacter.s__.7"	0	0	0.02	0.09
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.15"	0.02	0.07	0.19	0.11
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingomonas.s__.3"	0	0	0.11	0.02
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.16"	0.22	0.34	0.53	0.45
"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Hymenobacter.s__"	0	0.01	0.13	0.04
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Rhodoplanes.s__.19"	0	0	0.12	0.03
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Salinispora.s__"	0	0	0.09	0.06
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfuromonadales.f__Geobacteraceae.g__Geobacter.s__.2"	0	0.01	0.1	0.06
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Novosphingobium.s__.3"	0	0	0.07	0.03
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__.Weeksellaceae..g__Chryseobacterium.s__"	0	0	0.05	0.05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Kaistobacter.s__.2"	0	0	0.01	0.03
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Salinispora.s__tropica"	0	0	0.07	0.1
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Hyphomicrobium.s__.1"	0	0	0.02	0.04
"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Hymenobacter.s__.1"	0	0	0.05	0.05
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Gallionellales.f__Gallionellaceae.g__Gallionella.s__"	0	0.01	0.13	0.09
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__Terracoccus.s__"	0	0	0.02	0.03
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Pseudonocardiaceae.g__Amycolatopsis.s__"	0	0.03	0.12	0.03
"k__Bacteria.p__Bacteroidetes.c__.Saprospirae..o__.Saprospirales..f__Chitinophagaceae.g__Segetibacter.s__.1"	0.01	0.01	0.12	0.04
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Microbacteriaceae.g__Microbacterium.s__.1"	0	0	0.03	0.04
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Kaistobacter.s__.3"	0	0	0.05	0.07
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__.3"	0	0.01	0.01	0.05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingomonas.s__.4"	0	0	0.01	0.04
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Microbacteriaceae.g__Agromyces.s__.1"	0	0	0.1	0.05
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.17"	0	0.01	0.11	0.05
"k__Bacteria.p__Bacteroidetes.c__.Saprospirae..o__.Saprospirales..f__Chitinophagaceae.g__Flavisolibacter.s__.3"	0	0	0.19	0.09
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Rhodoplanes.s__.20"	0	0	0.09	0.05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__.4"	0	0.11	0.38	0.04
"k__Bacteria.p__Actinobacteria.c__Rubrobacteria.o__Rubrobacterales.f__Rubrobacteraceae.g__Rubrobacter.s__.3"	0	0.01	0.09	0.07
"k__Bacteria.p__Armatimonadetes.c__.Fimbriimonadia..o__.Fimbriimonadales..f__.Fimbriimonadaceae..g__Fimbriimonas.s__"	0	0.01	0.03	0.03
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Agrobacterium.s__"	0	0	0.08	0.03
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium.s__.1"	0	0	0	0.05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingomonas.s__.5"	0	0	0.09	0.04
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__.5"	0	0	0.1	0.03
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardioidaceae.g__Aeromicrobium.s__.2"	0	0	0	0.02
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__.2"	0	0	0.12	0.07
"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Rhodocytophaga.s__"	0	0	0.1	0.04
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces.s__.3"	0	0	0.11	0.02
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Novosphingobium.s__.4"	0	0	0.12	0.06
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Limnohabitans.s__"	0	0.01	0.12	0.09
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium.s__.5"	0	0	0.09	0.06
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Devosia.s__.1"	0.04	0.08	0.35	0.07
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Rhodoplanes.s__.21"	0	0	0.07	0.11
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__humi"	0	0.05	0.19	0.06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__.6"	0	0	0.13	0.07
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptosporangiaceae.g__Streptosporangium.s__"	0	0	0.13	0.03
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfuromonadales.f__Geobacteraceae.g__Geobacter.s__.3"	0	0	0.1	0.05
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Legionella.s__.1"	0	0	0.13	0.05
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Phenylobacterium.s__.2"	0	0	0.03	0.12
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Pseudogulbenkiania.s__subflava"	0	0	0.09	0.03
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces.s__.4"	0	0	0.11	0.1
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Bdellovibrionales.f__Bdellovibrionaceae.g__Bdellovibrio.s__.4"	0	0	0.1	0.07
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__.7"	0	0	0.01	0.05
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__"	0	0	0.28	0.06
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__.3"	0	0	0.16	0.04
"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Dyadobacter.s__.1"	0	0	0.1	0.08
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Mycobacteriaceae.g__Mycobacterium.s__.4"	0	0	0.15	0.04
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Phyllobacteriaceae.g__Mesorhizobium.s__huakuii"	0	0	0.1	0
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Bdellovibrionales.f__Bdellovibrionaceae.g__Bdellovibrio.s__.5"	0	0	0.15	0.1
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium.s__.2"	0	0	0.13	0.05
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces.s__.5"	0	0	0.06	0.03
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces.s__scabrisporus"	0	0	0.07	0.06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__flexus"	0	0	0.09	0.03
"k__Bacteria.p__Bacteroidetes.c__.Saprospirae..o__.Saprospirales..f__Chitinophagaceae.g__Flavisolibacter.s__.4"	0	0	0	0.01
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Devosia.s__.2"	0.03	0.01	0.17	0.02
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Kitasatospora.s__"	0	0.07	0.4	0.07
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.18"	0	0.01	0.01	0.03
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.19"	0	0	0.03	0.07
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Methylibium.s__.1"	0	0	0.22	0.04
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.20"	0	0	0.06	0.03
"k__Bacteria.p__Bacteroidetes.c__.Saprospirae..o__.Saprospirales..f__Chitinophagaceae.g__Segetibacter.s__.2"	0	0	0	0.04
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium.s__columnare"	0	0	0.14	0.03
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__Desulfosporosinus.s__meridiei"	0	0	0.17	0.07
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingomonas.s__.6"	0	0	0.04	0.02
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__Candidatus.Xiphinematobacter.s__"	0.02	0.05	0.35	0.05
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micromonosporaceae.g__Dactylosporangium.s__"	0	0.01	0.12	0.05
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces.s__aculeolatus"	0	0	0.07	0.04
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bradyrhizobiaceae.g__Nitrobacter.s__"	0.01	0.01	0.02	0.02
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Methylibium.s__.2"	0	0	0.06	0.02
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium.s__.6"	0	0	0.09	0.03
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.21"	0	0.01	0.14	0.07
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__.8"	0	0	0	0.04
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Haliangiaceae.g__Haliangium.s__"	0	0	0.11	0.05
"k__Bacteria.p__Bacteroidetes.c__.Saprospirae..o__.Saprospirales..f__Chitinophagaceae.g__Segetibacter.s__.3"	0	0	0.11	0.07
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Koribacteraceae.g__Candidatus.Koribacter.s__.8"	0	0	0.01	0.03
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__DA101.s__.9"	0	0	0.06	0.07
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Rhodoplanes.s__.22"	0	0.01	0.08	0.04
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Rhodoplanes.s__.23"	0	0	0	0.14
"k__Bacteria.p__Acidobacteria.c__Holophagae.o__Holophagales.f__Holophagaceae.g__Geothrix.s__"	0	0	0.14	0.05
"k__Bacteria.p__Chloroflexi.c__Chloroflexi.o__Chloroflexales.f__Oscillochloridaceae.g__Oscillochloris.s__"	0	0	0.13	0.03
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__.9"	0	0	0.1	0.05
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__DA101.s__.10"	0	0	0.02	0.02
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Sinobacteraceae.g__Steroidobacter.s__.1"	0	0	0.12	0.04
"k__Bacteria.p__Bacteroidetes.c__.Saprospirae..o__.Saprospirales..f__Chitinophagaceae.g__Niastella.s__"	0	0	0.05	0.04
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Inquilinus.s__limosus"	0	0.01	0.28	0.03
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__.10"	0	0	0.01	0.03
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Novosphingobium.s__.5"	0	0	0.08	0.02
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__Candidatus.Xiphinematobacter.s__.1"	0	0	0.09	0.02
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Cupriavidus.s__gilardii"	0	0	0.04	0.04
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium.s__.7"	0	0	0.09	0.06
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.22"	0	0	0.13	0.07
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Pseudonocardiaceae.g__Pseudonocardia.s__"	0.02	0.04	0.4	0.09
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Koribacteraceae.g__Candidatus.Koribacter.s__.9"	0	0.04	0.24	0.07
"k__Bacteria.p__Actinobacteria.c__Rubrobacteria.o__Rubrobacterales.f__Rubrobacteraceae.g__Rubrobacter.s__.4"	0	0	0.02	0.04
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium.s__.8"	0	0	0	0.01
"k__Bacteria.p__Verrucomicrobia.c__.Spartobacteria..o__.Chthoniobacterales..f__.Chthoniobacteraceae..g__DA101.s__.11"	0	0	0.03	0.06
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhodobiaceae.g__Afifella.s__.1"	0	0	0.08	0.09
"k__Bacteria.p__Bacteroidetes.c__.Saprospirae..o__.Saprospirales..f__Chitinophagaceae.g__Flavisolibacter.s__.5"	0	0	0.12	0.03
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herminiimonas.s__.1"	0	0	0.11	0.06
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylocystaceae.g__Pleomorphomonas.s__"	0	0	0.13	0.04
"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Adhaeribacter.s__.2"	0	0	0.01	0.01
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__.4"	0	0	0.09	0.07
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bradyrhizobiaceae.g__Balneimonas.s__"	0	0.02	0.17	0.14
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__Phycicoccus.s__"	0	0	0.08	0.04
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Leptothrix.s__.1"	0	0	0.01	0.09
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.s__"	0	0	0.13	0.03
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Rhodoplanes.s__.24"	0	0	0.04	0.04
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium.s__.9"	0	0	0.03	0.05
"k__Bacteria.p__Actinobacteria.c__Rubrobacteria.o__Rubrobacterales.f__Rubrobacteraceae.g__Rubrobacter.s__.5"	0	0.01	0.05	0.06
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Phyllobacteriaceae.g__Phyllobacterium.s__"	0	0	0.08	0.06
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Rhodocyclaceae.g__Rhodocyclus.s__"	0	0	0.15	0.08
"k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Pedobacter.s__"	0	0	0.11	0.05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__.11"	0	0	0.01	0.07
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas.s__retroflexus"	0	0	0.09	0.05
"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__Solibacteraceae.g__Candidatus.Solibacter.s__.23"	0.57	0.8	0.86	0.31
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardioidaceae.g__Nocardioides.s__.1"	0	0	0.02	0.04
"k__Bacteria.p__.Thermi..c__Deinococci.o__Deinococcales.f__Deinococcaceae.g__Deinococcus.s__.2"	0	0.01	0.12	0.04
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Telmatospirillum.s__siberiense.1"	0	0	0.05	0.08
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium.s__.10"	0	0.01	0.03	0.08
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Ralstonia.s__.1"	0	0.03	0.13	0.02
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Agrobacterium.s__.1"	0	0	0.02	0.05
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Coxiellaceae.g__Aquicella.s__.2"	0	0.01	0.1	0.03
